array,filename,row,col,mean_intensity,area,solidity,circularity,max_gradient,kmeans_4,dbscan,gmm,agglomerative,spectral
Array_1Crop,"Array_1Crop_10,10.bmp",10,10,68.87646484375,347.0,0.8023121387283237,0.42820960490994986,30.886890422961002,0,0,2,0,0
Array_1Crop,"Array_1Crop_10,11.bmp",10,11,69.3115234375,323.5,0.6817702845100105,0.25087158464203246,104.93807697875924,0,-1,1,0,0
Array_1Crop,"Array_1Crop_10,12.bmp",10,12,72.347900390625,248.5,0.3947577442414615,0.15385137502335405,104.93807697875924,0,-1,1,0,0
Array_1Crop,"Array_1Crop_10,13.bmp",10,13,73.5400390625,260.0,0.497131931166348,0.17481485916365647,26.0,0,0,2,0,0
Array_1Crop,"Array_1Crop_10,14.bmp",10,14,73.731689453125,347.5,0.30806737588652483,0.08395441196573296,31.144823004794873,0,-1,1,0,0
Array_1Crop,"Array_1Crop_10,15.bmp",10,15,73.592041015625,264.0,0.6041189931350115,0.228215836370427,31.240998703626616,0,0,2,0,0
Array_1Crop,"Array_1Crop_10,16.bmp",10,16,74.425048828125,306.0,0.5548504079782411,0.1692946569323347,32.28002478313795,0,0,2,0,0
Array_1Crop,"Array_1Crop_10,17.bmp",10,17,75.056640625,160.5,0.8316062176165803,0.48439889650980955,32.0,2,-1,0,0,0
Array_1Crop,"Array_1Crop_10,18.bmp",10,18,74.11572265625,381.5,0.7071362372567191,0.3513464501441979,33.015148038438355,0,0,2,0,0
Array_1Crop,"Array_1Crop_10,19.bmp",10,19,74.215576171875,337.0,0.46101231190150477,0.16466711604236575,35.77708763999664,0,0,2,0,0
Array_1Crop,"Array_1Crop_10,2.bmp",10,2,75.0703125,355.0,0.5491105955143079,0.18923445454856597,39.01281840626232,0,0,2,0,0
Array_1Crop,"Array_1Crop_10,20.bmp",10,20,74.603271484375,416.0,0.5710363761153054,0.21117155974277152,41.23105625617661,0,0,2,0,0
Array_1Crop,"Array_1Crop_10,21.bmp",10,21,77.96197916666667,359.5,0.7374358974358974,0.3338534827191443,32.0,0,-1,2,0,0
Array_1Crop,"Array_1Crop_10,3.bmp",10,3,74.751953125,398.0,0.5681655960028551,0.21215581167389158,43.104524124504614,0,0,2,0,0
Array_1Crop,"Array_1Crop_10,4.bmp",10,4,75.77197265625,370.5,0.7942122186495176,0.44465883349678403,31.016124838541646,0,-1,2,0,0
Array_1Crop,"Array_1Crop_10,5.bmp",10,5,72.96630859375,408.5,0.6642276422764227,0.27703002320760667,30.463092423455635,0,0,2,0,0
Array_1Crop,"Array_1Crop_10,6.bmp",10,6,71.779052734375,378.0,0.675,0.2836961618866746,30.265491900843113,0,0,2,0,0
Array_1Crop,"Array_1Crop_10,7.bmp",10,7,76.351806640625,349.0,0.7233160621761658,0.3754208760557977,29.154759474226502,0,-1,2,0,0
Array_1Crop,"Array_1Crop_10,8.bmp",10,8,85.06005859375,191.5,0.9184652278177458,0.5023434542049032,39.395431207184416,1,-1,0,2,2
Array_1Crop,"Array_1Crop_10,9.bmp",10,9,70.36669921875,357.0,0.6885245901639344,0.2986207929033384,39.395431207184416,0,0,1,0,0
Array_1Crop,"Array_1Crop_11,1.bmp",11,1,71.3948622881356,476.5,0.4917440660474716,0.17542562359950742,42.190046219457976,0,0,1,0,0
Array_1Crop,"Array_1Crop_11,10.bmp",11,10,67.527587890625,398.0,0.6450567260940032,0.3081589231564755,38.2099463490856,0,0,2,0,0
Array_1Crop,"Array_1Crop_11,11.bmp",11,11,67.5673828125,412.5,0.6124721603563474,0.24836493370747295,70.0,0,-1,1,0,0
Array_1Crop,"Array_1Crop_11,12.bmp",11,12,69.5546875,445.0,0.49171270718232046,0.18716169769656846,70.0,0,-1,1,0,0
